store_id,name,nearest_station,nearest_distance,category,rating_val,review_cnt,save_cnt,description,opening_hours,holiday,address,prefecture,municipalities_1,municipalities_2,municipalities_3,
13204308,APA Hotel Iidabashi Ekimae,Iidabashi Station,302,others,3,4,11,,,-,"3-4-6 Iidabashi, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Idabashi,-,
13093311,Ittengo,Iidabashi Station,182,Dining Bar,3,2,13,,,"Saturdays, Sundays, and holidays","3-3-7 Iidabashi, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Idabashi,-,
13275334,Bento Market,Iidabashi Station,411,bento,3,1,3,,,-,"Sunpark Mansion Chiyoda 1F, 2-9-4 Iidabashi, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Idabashi,-,
13277372,Iidabashi DELHI,Kudanshita Station,411,bento,3,5,19,,,-,"Tosendo Building 1F, 1-5-7 Iidabashi, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Idabashi,-,
13232418,Bento 168 Iidabashi,Iidabashi Station,412,bento,3,2,14,,,-,"Sunpark Mansion Chiyoda 1F, 2-9-4 Iidabashi, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Idabashi,-,
13195372,Chiyoda Millet,Iidabashi Station,463,bento,3,1,21,,,-,"1F Human Resources Development Building, 2-11-5 Iidabashi, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Idabashi,-,
13123119,Cote d'Azur Iidabashi Station Store,Iidabashi Station,146,Italian,3,1,35,,,Open daily,"4th Yamasho Building, 4-8-2 Iidabashi, Chiyoda-ku, Tokyo, 4th and 5th floors",Tokyo,Chiyoda Ward,Idabashi,-,
13241905,"Hoshino Iidabashi, a private room izakaya serving local chicken",Suidobashi Station,517,"Tempura, Izakaya, Seafood",3,2,42,,,Irregular holidays,"3-10-9 Iidabashi, Chiyoda-ku, Tokyo, 3F",Tokyo,Chiyoda Ward,Idabashi,-,
13245917,Family Mart Kanda Iwamotocho 1-chome Store,Shin-Nihonbashi Station,321,others,3,2,4,,,-,"1-3-1 Iwamotocho, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Iwamotocho,-,
13215637,Seven-Eleven Chiyoda Iwamotocho 2-chome Store,Kodenmacho Station,291,others,3,1,5,,,-,"2-18-1 Iwamotocho, Chiyoda-ku, Tokyo",Tokyo,Chiyoda Ward,Iwamotocho,-,
